PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,2,"Nilsson, Mr. Edward",male,8.2,0,0,327870,32.69,D73,S
2,0,3,"Taylor, Mr. Robert",male,13.2,0,0,164219,7.32,,S
3,1,3,"Kelly, Mrs. Clara",female,34.4,0,0,125190,3.23,,S
4,0,3,"Andersson, Mr. Harry",male,12.6,1,1,202815,9.58,,C
5,0,1,"Larsson, Mrs. Anna",female,44.6,0,0,251304,111.2,,S
6,1,1,"Taylor, Mr. Edward",male,28.0,0,0,334547,99.61,,S
7,1,1,"Larsson, Mrs. Elizabeth",female,30.2,0,0,180466,114.91,,S
8,0,3,"Williams, Mrs. Rose",female,25.1,0,0,204383,5.88,,S
9,0,3,"Andersson, Mr. Walter",male,,0,0,210423,6.49,,S
10,0,3,"Williams, Mr. James",male,40.0,0,0,319275,5.21,,S
11,1,1,"Taylor, Mr. George",male,33.7,0,0,354572,195.09,,S
12,0,3,"Sullivan, Mrs. Mary",female,,3,2,242468,7.5,,S
13,0,3,"Larsson, Mr. Henry",male,26.0,0,0,112296,13.01,,S
14,1,2,"Miller, Mr. Robert",male,36.6,0,0,352658,1.59,,C
15,1,1,"Miller, Mr. Arthur",male,24.3,0,0,158437,2.48,C99,S
16,0,1,"Andersson, Mr. James",male,29.0,0,0,282129,22.1,,S
17,0,2,"Smith, Mr. John",male,25.2,2,0,179741,33.83,,Q
18,0,3,"Miller, Mr. Albert",male,22.6,0,0,226348,12.38,,S
19,1,2,"Sullivan, Mr. James",male,19.4,0,1,313839,50.96,D112,S
20,0,2,"Taylor, Mrs. Edith",female,35.5,0,0,245875,37.49,,S
21,1,3,"Taylor, Mrs. Clara",female,,0,0,364821,5.33,,S
22,0,1,"Davis, Mr. Walter",male,45.4,0,0,109909,58.22,,S
23,1,2,"Smith, Mrs. Alice",female,11.4,0,0,124381,41.71,,S
24,1,2,"Williams, Mrs. Nellie",female,,0,0,365373,13.08,,S
25,1,3,"Williams, Mrs. Ethel",female,24.5,0,1,160088,18.25,,Q
26,0,3,"Moore, Mr. Thomas",male,37.4,0,1,239463,2.96,,S
27,1,1,"Nilsson, Mr. Charles",male,,0,1,291204,87.09,,S
28,0,3,"Brown, Mr. Harry",male,31.0,0,0,278206,10.77,,S
29,1,3,"Andersson, Mrs. Helen",female,33.4,0,0,179471,5.39,,S
30,1,1,"Brown, Mr. Arthur",male,,4,0,181337,59.94,,S
31,0,3,"Carlsson, Mr. Edward",male,37.5,0,1,295286,13.99,,Q
32,1,1,"Carlsson, Mr. Charles",male,47.8,3,0,156114,135.02,,S
33,0,1,"Clark, Mr. James",male,26.6,0,0,385229,198.09,E27,Q
34,0,3,"O'Brien, Mr. Charles",male,48.0,1,0,185392,19.99,,S
35,0,3,"O'Brien, Mr. James",male,26.3,0,0,391084,26.04,,S
36,0,3,"Moore, Mr. James",male,40.9,0,0,378863,4.71,,S
37,0,2,"Kelly, Mr. Charles",male,0.4,2,0,213530,5.94,,S
38,1,1,"Larsson, Mrs. Elizabeth",female,62.9,2,3,143378,102.01,,S
39,1,3,"Taylor, Mrs. Bertha",female,49.9,0,1,362731,3.19,,S
40,1,2,"Williams, Mrs. Ethel",female,25.0,0,0,276367,13.52,,S
41,1,1,"Larsson, Mrs. Bertha",female,1.4,0,2,361838,120.69,,S
42,0,3,"Andersson, Mr. James",male,33.0,2,0,133574,29.03,,C
43,1,1,"Jones, Mr. Frank",male,8.8,0,2,311218,88.85,,S
44,1,3,"Kelly, Mrs. Ethel",female,35.2,0,0,213876,4.31,,S
45,0,2,"Larsson, Mr. Charles",male,,1,0,281052,16.72,,S
46,0,3,"Kelly, Mr. George",male,15.8,1,0,154367,12.22,,S
47,0,2,"Wilson, Mr. Henry",male,,0,0,376024,8.98,,C
48,0,3,"Williams, Mr. Albert",male,,0,0,250350,2.25,,S
49,0,3,"Larsson, Mr. George",male,,3,0,316223,20.01,,Q
50,0,1,"Kelly, Mr. Robert",male,29.1,0,5,308384,56.71,,C
51,0,3,"Nilsson, Mr. Albert",male,9.2,1,0,322926,18.05,,S
52,1,3,"Davis, Mrs. Margaret",female,42.7,0,0,290498,13.45,,S
53,0,3,"Johnson, Mr. James",male,25.2,0,1,104766,9.29,,C
54,0,3,"O'Brien, Mr. William",male,9.5,0,0,251342,8.23,,C
55,0,3,"Larsson, Mr. Charles",male,47.9,0,0,156653,10.51,,S
56,1,3,"O'Brien, Mrs. Edith",female,58.4,1,0,151960,16.55,,Q
57,1,1,"O'Brien, Mr. George",male,28.4,0,0,142184,4.36,A37,Q
58,1,1,"Smith, Mr. Frank",male,59.2,1,1,148371,99.46,,S
59,0,1,"Miller, Mr. Arthur",male,30.3,0,0,153897,93.83,,C
60,0,2,"Larsson, Mr. James",male,23.7,0,0,152991,29.74,,S
61,0,2,"Sullivan, Mrs. Bertha",female,20.2,0,0,271124,45.02,D41,S
62,1,2,"Wilson, Mrs. Nellie",female,51.9,0,0,308385,9.2,,S
63,0,3,"O'Brien, Mr. Henry",male,18.1,0,2,125425,2.69,,S
64,0,2,"O'Brien, Mr. James",male,39.3,1,1,260138,19.25,,C
65,1,2,"Miller, Mrs. Edith",female,21.2,1,0,299012,18.09,D113,S
66,0,3,"Larsson, Mr. Arthur",male,22.6,0,0,202391,8.41,,S
67,1,1,"Clark, Mr. Albert",male,43.4,0,0,281283,96.0,,C
68,0,3,"O'Brien, Mr. Edward",male,23.7,0,0,167512,6.56,,S
69,1,1,"Kelly, Mrs. Bertha",female,23.3,1,0,374869,57.22,,S
70,0,3,"Carlsson, Mr. Henry",male,,1,1,371934,16.18,,S
71,0,3,"Murphy, Mr. Thomas",male,51.4,1,0,267637,8.55,,S
72,1,1,"Johnson, Mrs. Rose",female,38.0,0,0,149838,74.29,,C
73,0,1,"Jones, Mr. James",male,19.8,0,0,396466,52.71,,S
